"","datetime","do.obs","wtr","year","yday","hour","par","baro"
"928",2021-06-07 22:00:00,7.75933333333333,11.8991666666667,2021,158,23,996,79098.482
"929",2021-06-07 23:00:00,7.93083333333333,10.987,2021,158,24,912,79093.136
"930",2021-06-08 00:00:00,8.07833333333333,10.2186666666667,2021,159,1,775,79114.5225
"931",2021-06-08 01:00:00,8.20516666666667,9.5935,2021,159,2,408,79127.89
"932",2021-06-08 02:00:00,8.31283333333333,9.07633333333333,2021,159,3,32,79154.63
"933",2021-06-08 03:00:00,8.42941666666667,8.56625,2021,159,4,71,79188.0475
"934",2021-06-08 04:00:00,8.546,8.04825,2021,159,5,25,79254.895
"935",2021-06-08 05:00:00,8.642,7.622,2021,159,6,1,79288.315
"936",2021-06-08 06:00:00,8.72216666666667,7.38966666666667,2021,159,7,0,79315.05
"937",2021-06-08 07:00:00,8.93891666666667,7.32366666666667,2021,159,8,0,79295
"938",2021-06-08 08:00:00,8.99733333333333,7.299,2021,159,9,0,79248.21
"939",2021-06-08 09:00:00,9.09608333333333,7.55283333333333,2021,159,10,0,79221.47
"940",2021-06-08 10:00:00,8.97966666666667,8.65383333333333,2021,159,11,0,79261.58
"941",2021-06-08 11:00:00,8.63716666666667,10.21725,2021,159,12,0,79274.95
"942",2021-06-08 12:00:00,8.4015,11.9566666666667,2021,159,13,0,79317.726
"943",2021-06-08 13:00:00,8.03133333333333,13.5693333333333,2021,159,14,0,79355.1575
"944",2021-06-08 14:00:00,7.72783333333333,14.7335833333333,2021,159,15,60,79401.945
"945",2021-06-08 15:00:00,7.55575,15.3540833333333,2021,159,16,153,79442.05
"946",2021-06-08 16:00:00,7.45575,15.3985,2021,159,17,151,79495.525
"947",2021-06-08 17:00:00,7.40316666666667,15.2183333333333,2021,159,18,591,79528.945
"948",2021-06-08 18:00:00,7.41375,14.7963333333333,2021,159,19,777,79589.1025
"949",2021-06-08 19:00:00,7.486,14.0685833333333,2021,159,20,949,79629.205
"950",2021-06-08 20:00:00,7.59783333333333,13.1115,2021,159,21,1024,79676
"951",2021-06-08 21:00:00,7.74308333333333,12.1168333333333,2021,159,22,1045,79709.4225
"952",2021-06-08 22:00:00,7.91291666666667,11.217,2021,159,23,917,79722.7875
"953",2021-06-08 23:00:00,8.093,10.3521666666667,2021,159,24,802,79749.525
"954",2021-06-09 00:00:00,8.24633333333333,9.63391666666667,2021,160,1,641,79776.265
"955",2021-06-09 01:00:00,8.36008333333333,9.07633333333333,2021,160,2,415,79782.95
"956",2021-06-09 02:00:00,8.46775,8.58058333333333,2021,160,3,116,79809.6825
"957",2021-06-09 03:00:00,8.55925,8.15441666666667,2021,160,4,103,79836.42
"958",2021-06-09 04:00:00,8.64275,7.81425,2021,160,5,26,79896.5775
"959",2021-06-09 05:00:00,8.70716666666667,7.53341666666667,2021,160,6,0,79956.74
"960",2021-06-09 06:00:00,8.793,7.26691666666667,2021,160,7,0,79976.7925
"961",2021-06-09 07:00:00,9.0345,7.09875,2021,160,8,0,79990.1575
"962",2021-06-09 08:00:00,9.12333333333333,7.13858333333333,2021,160,9,0,79976.7925
"963",2021-06-09 09:00:00,9.17591666666667,7.58366666666667,2021,160,10,0,79956.74
"964",2021-06-09 10:00:00,9.05333333333333,8.75891666666667,2021,160,11,0,79950.055
"965",2021-06-09 11:00:00,8.63908333333333,10.3145,2021,160,12,0,79943.37
"966",2021-06-09 12:00:00,8.37608333333333,11.79075,2021,160,13,0,79954.066
"967",2021-06-09 13:00:00,8.13741666666667,13.1225833333333,2021,160,14,1,79975.456
"968",2021-06-09 14:00:00,7.85858333333333,14.1840833333333,2021,160,15,57,79980.802
"969",2021-06-09 15:00:00,7.68541666666667,14.7130833333333,2021,160,16,197,80002.19
"970",2021-06-09 16:00:00,7.62841666666667,14.4625833333333,2021,160,17,417,80012.884
"971",2021-06-09 17:00:00,7.65625,13.803,2021,160,18,589,80012.884
"972",2021-06-09 18:00:00,7.7485,13.005,2021,160,19,739,79996.842
"973",2021-06-09 19:00:00,7.83583333333333,12.35475,2021,160,20,783,79964.762
"974",2021-06-09 20:00:00,7.87583333333333,11.6661666666667,2021,160,21,565,79927.326
"975",2021-06-09 21:00:00,7.97958333333333,10.9045,2021,160,22,576,79879.198
"976",2021-06-09 22:00:00,8.13625,10.1183333333333,2021,160,23,465,79820.376
"977",2021-06-09 23:00:00,8.31008333333333,9.30133333333333,2021,160,24,669,79831.072
"978",2021-06-10 00:00:00,8.47091666666667,8.5655,2021,161,1,690,79876.525
"979",2021-06-10 01:00:00,8.61325,7.96566666666667,2021,161,2,253,79996.84
"980",2021-06-10 02:00:00,8.72316666666667,7.52291666666667,2021,161,3,185,80055.664
"981",2021-06-10 03:00:00,8.81141666666667,7.11666666666667,2021,161,4,38,80125.18
"982",2021-06-10 04:00:00,8.90591666666667,6.71166666666667,2021,161,5,15,80167.956
"983",2021-06-10 05:00:00,8.99108333333333,6.348,2021,161,6,0,80210.736
"984",2021-06-10 06:00:00,9.08416666666667,6.0465,2021,161,7,0,80264.21
"985",2021-06-10 07:00:00,9.36875,5.84475,2021,161,8,0,80269.558
"986",2021-06-10 08:00:00,9.607,5.84083333333333,2021,161,9,0,80296.296
"987",2021-06-10 09:00:00,9.521,6.18141666666667,2021,161,10,0,80349.768
"988",2021-06-10 10:00:00,9.37991666666667,7.35525,2021,161,11,0,80371.16
"989",2021-06-10 11:00:00,9.01683333333333,9,2021,161,12,0,80371.16
"990",2021-06-10 12:00:00,8.6755,10.83975,2021,161,13,0,80424.632
"991",2021-06-10 13:00:00,8.30558333333333,12.5245833333333,2021,161,14,1,80471.4225
"992",2021-06-10 14:00:00,7.95833333333333,13.8165,2021,161,15,60,80488.802
"993",2021-06-10 15:00:00,7.75075,14.56075,2021,161,16,244,80531.58
"994",2021-06-10 16:00:00,7.60591666666667,14.8291666666667,2021,161,17,450,80579.704
"995",2021-06-10 17:00:00,7.5025,14.8646666666667,2021,161,18,651,80601.094
"996",2021-06-10 18:00:00,7.47375,14.6298333333333,2021,161,19,824,80633.182
"997",2021-06-10 19:00:00,7.49791666666667,14.1115,2021,161,20,952,80638.53
"998",2021-06-10 20:00:00,7.58683333333333,13.2765833333333,2021,161,21,1027,80643.878
"999",2021-06-10 21:00:00,7.6955,12.3833333333333,2021,161,22,1042,80633.182
"1000",2021-06-10 22:00:00,7.85,11.491,2021,161,23,1004,80618.475
"1001",2021-06-10 23:00:00,8.031,10.5841666666667,2021,161,24,915,80574.358
"1002",2021-06-11 00:00:00,8.21025,9.72625,2021,162,1,780,80510.19
"1003",2021-06-11 01:00:00,8.36075,9.019,2021,162,2,427,80462.066
"1004",2021-06-11 02:00:00,8.48075,8.46191666666667,2021,162,3,37,80451.37
"1005",2021-06-11 03:00:00,8.59208333333333,7.9735,2021,162,4,64,80446.022
"1006",2021-06-11 04:00:00,8.68708333333333,7.55391666666667,2021,162,5,19,80419.284
"1007",2021-06-11 05:00:00,8.77166666666667,7.18241666666667,2021,162,6,0,80403.246
"1008",2021-06-11 06:00:00,8.8725,6.84691666666667,2021,162,7,0,80392.552
"1009",2021-06-11 07:00:00,9.19533333333333,6.62958333333333,2021,162,8,0,80360.464
"1010",2021-06-11 08:00:00,9.501,6.66266666666667,2021,162,9,0,80344.42
"1011",2021-06-11 09:00:00,9.40141666666667,7.09741666666667,2021,162,10,0,80312.336
"1012",2021-06-11 10:00:00,9.23516666666667,8.218,2021,162,11,0,80280.254
"1013",2021-06-11 11:00:00,8.84575,9.86816666666667,2021,162,12,0,80226.778
"1014",2021-06-11 12:00:00,8.51666666666667,11.7279166666667,2021,162,13,0,80184
"1015",2021-06-11 13:00:00,8.15066666666667,13.4135,2021,162,14,0,80184
"1016",2021-06-11 14:00:00,7.80016666666667,14.7426666666667,2021,162,15,20,80200.044
"1017",2021-06-11 15:00:00,7.57633333333333,15.5725833333333,2021,162,16,158,80210.738
"1018",2021-06-11 16:00:00,7.43916666666667,15.8115,2021,162,17,416,80216.086
"1019",2021-06-11 17:00:00,7.34766666666667,15.7214166666667,2021,162,18,626,80178.652
"1020",2021-06-11 18:00:00,7.30775,15.46625,2021,162,19,794,80162.608
"1021",2021-06-11 19:00:00,7.32641666666667,14.94325,2021,162,20,924,80162.608
"1022",2021-06-11 20:00:00,7.39983333333333,14.1430833333333,2021,162,21,987,80146.568
"1023",2021-06-11 21:00:00,7.49241666666667,13.2956666666667,2021,162,22,1015,80103.79
"1024",2021-06-11 22:00:00,7.63508333333333,12.4885833333333,2021,162,23,967,80071.704
"1025",2021-06-11 23:00:00,7.80116666666667,11.6474166666667,2021,162,24,880,80028.928
"1026",2021-06-12 00:00:00,7.97275,10.7918333333333,2021,163,1,752,80023.58
"1027",2021-06-12 01:00:00,8.12758333333333,10.0485,2021,163,2,418,80012.884
"1028",2021-06-12 02:00:00,8.25083333333333,9.47308333333333,2021,163,3,38,79996.84
"1029",2021-06-12 03:00:00,8.34858333333333,9.02291666666667,2021,163,4,75,80012.884
"1030",2021-06-12 04:00:00,8.43108333333333,8.66083333333333,2021,163,5,15,80028.928
"1031",2021-06-12 05:00:00,8.49858333333333,8.38,2021,163,6,0,80055.666
"1032",2021-06-12 06:00:00,8.5865,8.07116666666667,2021,163,7,0,80055.666
"1033",2021-06-12 07:00:00,8.97158333333333,7.86258333333333,2021,163,8,0,80055.666
"1034",2021-06-12 08:00:00,9.33733333333333,7.93966666666667,2021,163,9,0,80034.276
"1035",2021-06-12 09:00:00,9.174,8.36475,2021,163,10,0,80007.536
"1036",2021-06-12 10:00:00,9.00891666666667,9.56825,2021,163,11,0,79980.802
"1037",2021-06-12 11:00:00,8.57941666666667,11.3005833333333,2021,163,12,0,79964.762
"1038",2021-06-12 12:00:00,8.23683333333333,13.2528333333333,2021,163,13,0,79943.37
"1039",2021-06-12 13:00:00,7.86883333333333,15.08575,2021,163,14,0,79916.63
"1040",2021-06-12 14:00:00,7.52425,16.4150833333333,2021,163,15,54,79916.63
"1041",2021-06-12 15:00:00,7.30291666666667,17.2344166666667,2021,163,16,226,79921.978
"1042",2021-06-12 16:00:00,7.15108333333333,17.4398333333333,2021,163,17,423,79943.37
"1043",2021-06-12 17:00:00,7.04841666666667,17.376,2021,163,18,613,79938.022
"1044",2021-06-12 18:00:00,6.99875,17.1470833333333,2021,163,19,775,79916.63
"1045",2021-06-12 19:00:00,6.99841666666667,16.6631666666667,2021,163,20,894,79889.892
"1046",2021-06-12 20:00:00,7.05916666666667,15.9055,2021,163,21,965,79852.464
"1047",2021-06-12 21:00:00,7.14041666666667,15.0836666666667,2021,163,22,978,79820.376
"1048",2021-06-12 22:00:00,7.26775,14.2955,2021,163,23,948,79788.296
"1049",2021-06-12 23:00:00,7.41408333333333,13.4988333333333,2021,163,24,869,79766.906
"1050",2021-06-13 00:00:00,7.57658333333333,12.6341666666667,2021,164,1,741,79740.168
"1051",2021-06-13 01:00:00,7.73666666666667,11.814,2021,164,2,412,79676
"1052",2021-06-13 02:00:00,7.88208333333333,11.096,2021,164,3,24,79622.52
"1053",2021-06-13 03:00:00,7.99775,10.5051666666667,2021,164,4,69,79655.945
"1054",2021-06-13 04:00:00,8.12658333333333,9.97166666666667,2021,164,5,13,79676
"1055",2021-06-13 05:00:00,8.21,9.5315,2021,164,6,0,79684.9133333333
"1056",2021-06-13 06:00:00,8.29266666666667,9.19825,2021,164,7,0,79702.74
"1057",2021-06-13 07:00:00,8.73158333333333,8.93091666666667,2021,164,8,0,79676
"1058",2021-06-13 08:00:00,9.15666666666667,8.9255,2021,164,9,0,79662.63
"1059",2021-06-13 09:00:00,8.98975,9.3505,2021,164,10,0,79655.945
"1060",2021-06-13 10:00:00,8.85408333333333,10.5945833333333,2021,164,11,0,79629.205
"1061",2021-06-13 11:00:00,8.38041666666667,12.3838333333333,2021,164,12,0,79622.52
"1062",2021-06-13 12:00:00,8.05808333333333,14.3525,2021,164,13,0,79622.52
"1063",2021-06-13 13:00:00,7.70766666666667,16.1025,2021,164,14,1,79643.912
"1064",2021-06-13 14:00:00,7.36291666666667,17.4236666666667,2021,164,15,58,79655.945
